D,E,J,A,H,F,C,B,G
J,D,H
J,D,H,C
D,A,E,H,B,C,F,G,J
H,F,B,J,C,E,D,G,A
D,A,J,H,E,C,B,G,F
H,F,A,B,D,C,E,G,J
J,A,F,B,C,H,E,D,G
A,D,E,J,H,B,C,G,F
A,E,D,H,F,G,C,J,B
J,E,D,A,B,H,G,F,C
F,B,A,H,G,C,D,E
J,D,E,H,G,A,B,C,F
G,B,C,H,F,A,D,E,J
H,C,B,A,D,F,E,G,J
E,B,G,C,H,A,D,F,J
H,A,D,E,C,J,B,F,G
D,A,J,E,C,B,G,H,F
J,H,D,A,E,G,B,C,F
E,D,A,B,C,F,G,J,H
H,A,D,B,E,F,C,J,G
A,F,H,J,B,C,E,D,G
J,B,H,C,G,F,A,E,D
D,A,E,H,B,C,J,G,F
D,J,A,H,C,E,B,F,G
D,H,A,E,G,C,B,J,F
A,C,H,D,B,E,J,F,G
H,D,J,C,A,B,E,F,G
D,A,J,H,B,E,C,G,F
J,D,H,B,G,A,C,E,F
D,A,G,F,E,H,J,C,B
A,D,E,B,C,J,H,F,G
H,D,A,G,E,B,F,C,J
H,A,D,C,E,J,B,G,F
D,A,H,C,B,E,G,J,F
D,E,F,J,A,C,G,B,H
F,B,H
B,H,D,G,C,F,E,J,A
D,A,H,F,B,G,C,J,E
A,D,H,E,C,G,F,B,J
D,J,A,E,H,C,G,B,F
H,D,J,C,B,E,G,A,F
H,B,G,F,E,J,A,D,C
E,D,G,A,C,J,H,F,B
H,F,B,C,G,D,E,A,J
H,B,E,G,J,A,D,F,C
D,A,J,H,E,C,G,F,B
B,H,G,F,D,E,C,J,A
G,D,H,J,C,F,E,A,B
E,D,A,H,F,C,J,G,B
H,A,D,C,B,F,E,G,J
G,E,A,C,F,H,B,D,J
E,A,D,H,C,F,B,G,J
H,A,B,C,F,E,G,D,J
D,A,J,B,H,E,C,G,F
G,D,H,B,C,F,E,A,J
G,H,D,B,C,A,E,F,J
F
J,E,H,B,C,F,G,D,A
J,D,E,C,G,B,F,A,H
J,H,E,F,B,G,D,C,A
H,J,E,D,A,B,C,F,G
J,H,C,B,A,D,E,F,G
D,H,F,E,G,A,B,C,J
J,B,F,G,H,D,E,A,C
A,D,H,J,E,B,C,F,G
E,D,J,C,H,B,G,A,F
A,J,D,H,E,C,B,G,F
H,F,D,B,A,G,J,E,C
H,D,J,E,A,C,F,B,G
A,G,E,J,F,B,C,D,H
A,E,D,H,C,G,B,J,F
H,A,G,B,D,C,E,F,J
H,F,B,G,C,E,D,J,A
B,H,F,A,G,C,E,D,J
D,J,A,C,H,G,E,F,B
J,H,D,A,C,E,G,B,F
D,H,C,E,A,J,B,G,F
H,G,A,D,C,B,F,J,E
G,A,D,C,B,F,E,H,J
D,B,H,G,F,E,A,C,J
D,J,C,H,G,B,A,F,E
H,D,B,E,C,G,F,J,A
A,D,E,B,H,G,C,F,J
B,J,G,D,H,F,E,C,A
D,G,B,E,F,H,A,C,J
J,D,E,A,C,H,B,F,G
